Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
1,1,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
2,2,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
3,3,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
4,4,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
5,5,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
6,6,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
7,7,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
8,8,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
9,9,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
10,10,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
11,11,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
12,12,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
13,13,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
14,14,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
15,15,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
16,16,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
17,17,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
18,18,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
19,19,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
20,20,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
